Local time,open,high,low,close,volume
13.11.2003 00:00:00.000 GMT+0200,108.862,108.885,108.052,108.112,605653.0978
14.11.2003 00:00:00.000 GMT+0200,108.094,108.505,107.936,108.358,605506.6953
17.11.2003 00:00:00.000 GMT+0200,108.321,109.735,108.218,108.89,608791.6875
18.11.2003 00:00:00.000 GMT+0200,108.879,109.099,107.914,107.942,609628.9013
19.11.2003 00:00:00.000 GMT+0200,107.972,109.38,107.532,109.279,607649.6055
20.11.2003 00:00:00.000 GMT+0200,109.275,109.299,108.634,109.02,604193.7998
21.11.2003 00:00:00.000 GMT+0200,109.002,109.381,108.628,108.754,611487.8037
24.11.2003 00:00:00.000 GMT+0200,108.79,109.498,108.715,109.31,593675.4028
25.11.2003 00:00:00.000 GMT+0200,109.294,110.022,109.207,109.384,615416.2951
26.11.2003 00:00:00.000 GMT+0200,109.385,109.762,108.866,109.075,604844.705
27.11.2003 00:00:00.000 GMT+0200,109.067,109.299,108.866,109.085,584220.8018
28.11.2003 00:00:00.000 GMT+0200,109.078,109.654,109.063,109.613,603366.7939
01.12.2003 00:00:00.000 GMT+0200,109.709,110.028,109.079,109.401,603542.9013
02.12.2003 00:00:00.000 GMT+0200,109.396,109.813,108.539,108.57,610439.1036
03.12.2003 00:00:00.000 GMT+0200,108.576,108.812,108.076,108.25,603563.1025
04.12.2003 00:00:00.000 GMT+0200,108.235,108.48,107.939,108.185,607789.5946
05.12.2003 00:00:00.000 GMT+0200,108.19,108.409,107.502,107.715,597411.6972
08.12.2003 00:00:00.000 GMT+0200,107.668,107.802,107.086,107.398,610580.3915
09.12.2003 00:00:00.000 GMT+0200,107.381,107.543,106.743,107.122,609405.499
10.12.2003 00:00:00.000 GMT+0200,107.111,108.716,107.045,108.409,610316.6982
11.12.2003 00:00:00.000 GMT+0200,108.403,108.458,107.917,108.028,612900.297
12.12.2003 00:00:00.000 GMT+0200,108.005,108.072,107.612,107.86,597256.4942
15.12.2003 00:00:00.000 GMT+0200,108.345,108.389,107.356,107.588,605467.2002
16.12.2003 00:00:00.000 GMT+0200,107.587,107.832,107.364,107.49,597882.2939
17.12.2003 00:00:00.000 GMT+0200,107.473,107.825,107.181,107.401,599057.4062
18.12.2003 00:00:00.000 GMT+0200,107.368,108.083,107.306,107.636,607902.8906
