Gmt time,Open,High,Low,Close,Volume
17.09.2020 00:00:00.000,104.737,105.248,104.718,105.117,50422.8711
18.09.2020 00:00:00.000,105.148,105.267,104.758,104.838,34455.2422
21.09.2020 00:00:00.000,104.408,104.458,103.657,103.908,62513.0469
22.09.2020 00:00:00.000,104.007,104.287,103.767,104.228,18910.1523
23.09.2020 00:00:00.000,104.287,104.318,103.167,103.237,43430.3242
24.09.2020 00:00:00.000,102.977,103.517,102.487,103.177,92460.6563
25.09.2020 00:00:00.000,102.977,103.337,102.867,103.088,40245.3281
28.09.2020 00:00:00.000,103.477,103.957,103.427,103.827,41440.2539
29.09.2020 00:00:00.000,103.728,103.958,103.527,103.828,36172.7109
30.09.2020 00:00:00.000,103.848,104.478,103.847,104.268,73955.3906
01.10.2020 00:00:00.000,104.128,104.278,103.968,104.148,54055.293
02.10.2020 00:00:00.000,103.498,104.197,103.497,104.107,77725.4141
05.10.2020 00:00:00.000,104.287,104.848,104.147,104.798,14000.1064
06.10.2020 00:00:00.000,104.878,105.287,104.557,104.578,69942.8906
07.10.2020 00:00:00.000,104.777,105.068,104.777,105.007,24550.2129
08.10.2020 00:00:00.000,105.247,105.298,105.098,105.288,15537.6084
09.10.2020 00:00:00.000,105.357,105.578,105.267,105.458,14460.0879
12.10.2020 00:00:00.000,105.597,106.208,105.597,106.088,16627.6348
13.10.2020 00:00:00.000,105.918,105.928,105.487,105.608,43685.3086
14.10.2020 00:00:00.000,105.457,105.628,105.228,105.387,25457.7129
15.10.2020 00:00:00.000,104.747,105.368,104.747,105.348,22887.6816
16.10.2020 00:00:00.000,105.388,105.568,105.087,105.158,21882.6875
19.10.2020 00:00:00.000,105.218,105.448,104.827,104.867,53095.5195
20.10.2020 00:00:00.000,104.987,105.458,104.928,105.237,53572.957
21.10.2020 00:00:00.000,105.198,105.458,105.117,105.197,44505.375
22.10.2020 00:00:00.000,105.108,105.487,105.007,105.367,40990.3008
23.10.2020 00:00:00.000,105.478,105.538,105.277,105.507,31790.2656
