"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"39","2024-02-09 07:01:52 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07772","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.20000","","251.71"
"40","2024-02-09 07:01:52 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"41","2024-02-09 07:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07810","","1.07719","","","","","","","","",""
"42","2024-02-09 07:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07761","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","251.71"
"43","2024-02-09 07:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07719","","","","","","","","","","","","","","",""
"44","2024-02-09 07:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07810","","","","","","","","","","","","","","",""
"45","2024-02-09 07:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"46","2024-02-09 07:32:33 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07811","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","-1.50000","","250.21"
"47","2024-02-09 07:32:33 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"48","2024-02-09 08:16:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07690","","1.07823","","","","","","","","",""
"49","2024-02-09 08:16:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07735","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","250.21"
"50","2024-02-09 08:16:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07823","","","","","","","","","","","","","","",""
"51","2024-02-09 08:16:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07690","","","","","","","","","","","","","","",""
"52","2024-02-09 08:16:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"53","2024-02-09 08:27:55 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07823","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.64000","","252.85"
